t,angulo
2.61E+01,-0.038197739
2.61E+01,-0.014021806
2.61E+01,0.013379493
2.62E+01,0.041044437
2.62E+01,0.065043414
2.63E+01,0.087836116
2.63E+01,0.108321438
2.63E+01,0.128123284
2.63E+01,0.147029646
2.64E+01,0.160678492
2.64E+01,0.17458981
2.65E+01,0.185724136
2.65E+01,0.191374693
2.65E+01,0.198695657
2.65E+01,0.200542177
2.66E+01,0.200606601
2.66E+01,0.197925688
2.67E+01,0.193479451
2.67E+01,0.187495485
2.67E+01,0.179934473
2.67E+01,0.168693691
2.68E+01,0.156894349
2.68E+01,0.1418494
2.69E+01,0.125556987
2.69E+01,0.106706646
2.69E+01,0.087991783
2.69E+01,0.066094517
2.70E+01,0.044309598
2.70E+01,0.020365905
2.70E+01,-0.003534091
2.71E+01,-0.027695435
2.71E+01,-0.052138843
2.72E+01,-0.077209823
2.72E+01,-0.101018241
2.72E+01,-0.124283383
2.72E+01,-0.147925048
2.73E+01,-0.170064663
2.73E+01,-0.191502351
2.74E+01,-0.211344585
2.74E+01,-0.227361441
2.74E+01,-0.244607811
2.74E+01,-0.256214372
2.75E+01,-0.270826409
2.75E+01,-0.278726255
2.76E+01,-0.284984923
2.76E+01,-0.289603219
2.76E+01,-0.292714083
2.76E+01,-0.293748555
2.77E+01,-0.292368817
2.77E+01,-0.281419044
2.78E+01,-0.274065927
2.78E+01,-0.258317716
2.78E+01,-0.241582338
2.78E+01,-0.230937521
2.79E+01,-0.212045861
2.79E+01,-0.193121488
2.80E+01,-0.172696613
2.80E+01,-0.149870836
2.80E+01,-0.125324305
2.80E+01,-0.10011969
2.81E+01,-0.07387805
2.81E+01,-0.051176946
2.81E+01,-0.026161239
2.82E+01,-0.001506521
2.82E+01,0.022903848
2.82E+01,0.049640086
2.82E+01,0.068821089
2.83E+01,0.0918833
2.83E+01,0.109201431
2.84E+01,0.127749702
2.84E+01,0.142264089
2.84E+01,0.157116496
2.84E+01,0.169858919
2.85E+01,0.177938612
2.85E+01,0.184687938
2.86E+01,0.18961729
2.86E+01,0.191259879
2.86E+01,0.191796786
2.86E+01,0.188773389
2.87E+01,0.183746885
2.87E+01,0.175535917
2.88E+01,0.165772359
2.88E+01,0.153035899
2.88E+01,0.139920476
2.88E+01,0.123759734
2.89E+01,0.106234638
2.89E+01,0.087658256
2.89E+01,0.066875236
2.90E+01,0.045231638
2.90E+01,0.021971738
2.91E+01,-0.002043875
2.91E+01,-0.025896006
